time,dolna,gorna
30/05/2018 15:35:45,1400,1480
30/05/2018 15:42:12,1340,1540
30/05/2018 15:42:28,1000,1880
30/05/2018 15:42:37,1430,1450
30/05/2018 15:42:39,1430,1450
30/05/2018 15:42:51,1380,1500
30/05/2018 15:43:06,1300,1580
30/05/2018 15:45:49,1420,1460
30/05/2018 15:51:41,1300,1580
30/05/2018 15:59:18,1420,1460
30/05/2018 16:07:10,1435,1445
30/05/2018 16:09:28,1425,1455
30/05/2018 16:41:44,1435,1449
30/05/2018 16:41:59,1300,1580
30/05/2018 17:40:17,1435,1445
30/05/2018 17:47:12,1431,1449
30/05/2018 18:06:48,1420,1460
30/05/2018 18:57:49,1400,1480
30/05/2018 19:27:37,1410,1470
30/05/2018 19:46:00,1400,1480
30/05/2018 20:05:03,1400,1480
30/05/2018 20:13:45,1431,1449
30/05/2018 21:38:52,1390,1490
30/05/2018 21:56:44,1436,1444
31/05/2018 06:47:06,1490,1500
02/06/2018 15:08:22,1350,1540
03/06/2018 12:05:28,1000,1880
03/06/2018 12:05:40,1400,1480
